iter	Passed	Remaining
407	4709	6833
408	4722	6823
409	4733	6812
410	4744	6799
411	4757	6789
412	4768	6777
413	4779	6764
414	4792	6756
415	4803	6743
416	4818	6736
417	4829	6724
418	4842	6714
419	4853	6702
420	4864	6690
421	4876	6679
422	4887	6666
423	4898	6653
424	4909	6641
425	4920	6630
426	4932	6618
427	4942	6605
428	4954	6594
429	4965	6581
430	4976	6569
431	4988	6558
432	5000	6547
433	5011	6535
434	5022	6524
435	5033	6511
436	5044	6498
437	5055	6486
438	5064	6472
439	5074	6459
440	5086	6447
441	5097	6434
442	5107	6422
443	5119	6411
444	5131	6399
445	5144	6390
446	5155	6377
447	5166	6365
448	5178	6355
449	5191	6344
450	5201	6331
451	5211	6318
452	5223	6307
453	5234	6294
454	5244	6281
455	5254	6268
456	5263	6254
457	5274	6241
458	5284	6228
459	5294	6214
460	5304	6202
461	5331	6208
462	5342	6196
463	5353	6184
464	5366	6173
465	5377	6162
466	5389	6151
467	5399	6138
468	5410	6125
469	5420	6112
470	5430	6099
471	5440	6086
472	5451	6073
473	5462	6061
474	5472	6048
475	5483	6035
476	5494	6023
477	5505	6011
478	5516	5999
479	5527	5987
480	5538	5976
481	5550	5964
482	5561	5953
483	5571	5940
484	5584	5929
485	5594	5917
486	5604	5904
487	5615	5891
488	5625	5878
489	5636	5866
490	5646	5853
491	5657	5841
492	5668	5829
493	5678	5816
494	5688	5803
495	5699	5791
496	5710	5779
497	5722	5768
498	5733	5756
499	5744	5744
500	5755	5732
501	5766	5720
502	5777	5708
503	5790	5698
504	5802	5687
505	5813	5675
506	5825	5664
507	5835	5651
508	5845	5639
509	5856	5626
510	5866	5614
511	5876	5600
512	5885	5587
513	5896	5575
514	5907	5563
515	5918	5551
516	5930	5540
517	5941	5528
518	5952	5516
519	5964	5505
520	5976	5494
521	5987	5482
522	5998	5471
523	6010	5459
524	6021	5448
525	6032	5436
526	6043	5424
527	6053	5411
528	6063	5399
529	6073	5385
530	6082	5372
531	6093	5360
532	6103	5347
533	6112	5334
534	6123	5322
535	6135	5311
536	6146	5299
537	6158	5288
538	6170	5277
539	6180	5265
540	6192	5253
541	6204	5242
542	6215	5231
543	6226	5219
544	6236	5206
545	6246	5193
546	6255	5180
547	6265	5168
548	6276	5155
549	6286	5143
550	6297	5131
551	6307	5119
552	6318	5107
553	6330	5096
554	6341	5084
555	6352	5073
556	6364	5061
557	6375	5050
558	6387	5039
559	6398	5027
560	6409	5015
561	6420	5003
562	6431	4991
563	6442	4980
564	6453	4968
565	6465	4957
566	6475	4945
567	6486	4933
568	6496	4921
569	6505	4907
570	6516	4895
571	6528	4885
572	6540	4873
573	6552	4863
574	6565	4852
575	6577	4842
576	6588	4830
577	6600	4818
578	6611	4807
579	6624	4796
580	6634	4784
581	6645	4772
582	6656	4761
583	6666	4748
584	6677	4737
585	6688	4725
586	6697	4712
587	6708	4700
588	6718	4688
589	6729	4676
590	6740	4664
591	6752	4654
592	6765	4643
593	6777	4632
594	6788	4621
595	6801	4610
596	6811	4598
597	6822	4586
598	6834	4575
599	6844	4563
600	6855	4551
601	6866	4539
602	6876	4527
603	6887	4515
604	6899	4504
605	6909	4492
606	6919	4479
607	6930	4468
608	6940	4455
609	6950	4444
610	6963	4433
611	6974	4421
612	6987	4411
613	6999	4400
614	7010	4388
615	7022	4377
616	7033	4366
617	7044	4354
618	7055	4342
619	7065	4330
620	7074	4317
621	7084	4305
622	7094	4293
623	7104	4281
624	7115	4269
625	7126	4257
626	7137	4246
627	7148	4234
628	7161	4223
629	7172	4212
630	7183	4200
631	7194	4189
632	7206	4178
633	7218	4167
634	7230	4156
635	7241	4144
636	7253	4133
637	7264	4122
638	7274	4109
639	7285	4098
640	7296	4086
641	7306	4074
642	7328	4068
643	7339	4057
644	7350	4045
645	7360	4033
646	7370	4021
647	7381	4009
648	7392	3998
649	7404	3987
650	7415	3975
651	7426	3964
652	7438	3952
653	7450	3941
654	7461	3929
655	7471	3918
656	7482	3906
657	7492	3894
658	7503	3882
659	7513	3870
660	7525	3859
661	7536	3848
662	7548	3836
663	7560	3825
664	7572	3814
665	7583	3803
666	7594	3791
667	7605	3780
668	7616	3768
669	7629	3757
670	7641	3746
671	7653	3735
672	7664	3724
673	7675	3712
674	7685	3700
675	7695	3688
676	7705	3676
677	7716	3664
678	7726	3652
679	7738	3641
680	7749	3630
681	7761	3619
682	7773	3607
683	7784	3596
684	7795	3584
685	7806	3573
686	7818	3562
687	7829	3550
688	7840	3539
689	7851	3527
690	7862	3515
691	7871	3503
692	7883	3492
693	7893	3480
694	7903	3468
695	7913	3456
696	7924	3445
697	7935	3433
698	7945	3421
699	7957	3410
700	7968	3398
701	7980	3387
702	7991	3376
703	8003	3365
704	8016	3354
705	8027	3342
706	8039	3331
707	8050	3320
708	8062	3309
709	8073	3297
710	8083	3285
711	8094	3274
712	8105	3262
713	8116	3251
714	8126	3239
715	8136	3227
716	8147	3215
717	8158	3204
718	8168	3192
719	8179	3180
720	8191	3169
721	8215	3163
722	8227	3152
723	8238	3140
724	8250	3129
725	8262	3118
726	8273	3106
727	8284	3095
728	8294	3083
729	8304	3071
730	8315	3060
731	8327	3048
732	8338	3037
733	8349	3025
734	8360	3014
735	8370	3002
736	8382	2991
737	8393	2979
738	8403	2967
739	8414	2956
740	8426	2945
741	8436	2933
742	8449	2922
743	8460	2910
744	8470	2899
745	8481	2887
746	8493	2876
747	8503	2864
748	8515	2853
749	8526	2842
750	8537	2830
751	8547	2818
752	8558	2807
753	8567	2795
754	8578	2783
755	8590	2772
756	8616	2765
757	8646	2760
758	8660	2749
759	8672	2738
760	8682	2726
761	8694	2715
762	8704	2703
763	8715	2692
764	8726	2680
765	8736	2668
766	8748	2657
767	8760	2646
768	8773	2635
769	8787	2624
770	8801	2614
771	8816	2603
772	8829	2592
773	8840	2581
774	8852	2570
775	8864	2558
776	8875	2547
777	8885	2535
778	8895	2523
779	8906	2512
780	8917	2500
781	8928	2488
782	8937	2477
783	8948	2465
784	8959	2453
785	8969	2442
786	8980	2430
787	8991	2419
788	9002	2407
789	9014	2396
790	9025	2384
791	9037	2373
792	9049	2362
793	9060	2350
794	9072	2339
795	9083	2328
796	9096	2316
797	9107	2305
798	9119	2294
799	9130	2282
800	9141	2271
801	9151	2259
802	9162	2247
803	9172	2236
804	9182	2224
805	9193	2212
806	9204	2201
807	9215	2189
808	9226	2178
809	9238	2166
810	9249	2155
811	9261	2144
812	9272	2132
813	9283	2121
814	9295	2110
815	9306	2098
816	9318	2087
817	9328	2075
