iter	Logloss
0	0.6719634982
1	0.6553663303
2	0.6406097766
3	0.6271357368
4	0.615398088
5	0.6056828735
6	0.5966573175
7	0.588007084
8	0.5795869247
9	0.5732212395
10	0.5660645595
11	0.5590047606
12	0.55277369
13	0.5448894999
14	0.5403121977
15	0.5338412151
16	0.528069905
17	0.5223120246
18	0.5163165753
19	0.5125557132
20	0.5078962684
21	0.5030806278
22	0.4993473136
23	0.4956950727
24	0.491212092
25	0.4881034385
26	0.4845077339
27	0.4810913821
28	0.4773481861
29	0.4743761498
30	0.4706055046
31	0.4676525619
32	0.4645651464
33	0.4611850729
34	0.4580581374
35	0.4558471388
36	0.4522948007
37	0.4497956593
38	0.4476239189
39	0.4446043601
40	0.440916503
41	0.438681697
42	0.4370211521
43	0.4337280837
44	0.4320040821
45	0.4292219267
46	0.4268619611
47	0.4244507878
48	0.4224450008
49	0.4203445669
50	0.4186340968
51	0.4171231864
52	0.4147844129
53	0.4114311591
54	0.4087987568
55	0.4065455253
56	0.4039166667
57	0.402536785
58	0.4008855347
59	0.3993579188
60	0.3969884855
61	0.3951836927
62	0.3926367171
63	0.3912652722
64	0.389711237
65	0.3872020655
66	0.3849058065
67	0.3833383183
68	0.3813075756
69	0.3795914819
70	0.3776898831
71	0.3756075473
72	0.3734618283
73	0.3727604396
74	0.3704794598
75	0.3689314517
76	0.3684129706
77	0.3677041803
78	0.3657247405
79	0.3639069836
80	0.3625707061
81	0.361092857
82	0.3593748149
83	0.3575864778
84	0.3560295342
85	0.3544101798
86	0.3528459271
87	0.3502140365
88	0.3484146556
89	0.3469069351
90	0.3459025483
91	0.3437749099
92	0.3418600196
93	0.3402094159
94	0.3387784701
95	0.3361850287
96	0.3351309549
97	0.3331849039
98	0.3316578029
99	0.3302443396
100	0.3282206601
101	0.3275517972
102	0.3262410873
103	0.324679984
104	0.3235667311
105	0.3223078911
106	0.3210912106
107	0.319742894
108	0.3186362791
109	0.3172287269
110	0.3158810618
111	0.3151789188
112	0.3136057299
113	0.3117265323
114	0.3110998362
115	0.3095313952
116	0.3085004655
117	0.3076989222
118	0.306808242
119	0.3060224406
